Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg F),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg F),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg F),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,Fuel Flow,MPG
10.06,1.0,9.0,2026-03-11 00:08:58,36.889,-121.40332,264.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.2,0.0,23.0,0.0,-0.01,1.0,,-90.0,77.0,0.0,30.15,1162.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,213.8,269.6,201.2,266.0,204.8,,,9.0,254.2,,3.5,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.4545454545454546,2.355844155844156,0.00036111111111111115,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
11.06,1.0,9.0,2026-03-11 00:08:59,36.889,-121.40332,263.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,22.0,-0.0,-0.01,1.0,,-89.0,77.0,0.0,30.15,1158.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.5,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.4545454545454546,2.355844155844156,0.00041666666666666675,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
12.06,1.0,9.0,2026-03-11 00:09:00,36.889,-121.40332,262.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,-62.0,77.0,0.0,30.15,1158.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.5,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.4545454545454546,2.355844155844156,0.0004722222222222223,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
13.06,1.0,9.0,2026-03-11 00:09:01,36.889,-121.40332,261.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,-39.0,77.0,0.0,30.15,1158.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.5,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.4545454545454546,2.355844155844156,0.0005277777777777778,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
14.06,1.0,9.0,2026-03-11 00:09:02,36.889,-121.40332,260.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,-21.0,77.0,0.0,30.15,1157.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.5,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.4545454545454546,2.355844155844156,0.0005833333333333334,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
15.06,1.0,9.0,2026-03-11 00:09:03,36.889,-121.40332,259.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,-3.0,75.2,0.0,30.15,1157.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.5,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.5,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,266.0,3.5372340425531914,2.4122340425531914,0.0006388888888888889,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
16.06,1.0,9.0,2026-03-11 00:09:04,36.889,-121.40332,259.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,5.0,75.2,0.0,30.15,1157.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,266.0,3.5372340425531914,2.4122340425531914,0.0006944444444444444,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
17.06,1.0,9.0,2026-03-11 00:09:05,36.889,-121.40332,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,21.0,75.2,0.0,30.15,1148.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,266.0,3.5372340425531914,2.4122340425531914,0.00075,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
18.06,1.0,9.0,2026-03-11 00:09:06,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,30.0,75.2,0.0,30.15,1148.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,269.6,201.2,266.0,204.8,,,9.0,254.3,,3.6,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,266.0,3.5372340425531914,2.4122340425531914,0.0008055555555555556,0.08433333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
19.06,1.0,9.0,2026-03-11 00:09:07,36.889,-121.40333,258.0,0.1,11.9,-12.5,,,,,0.0,10.4,-0.4,216.1,0.0,21.0,0.0,-0.01,1.0,,-12.0,75.2,0.0,30.15,1148.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,201.2,266.0,204.8,,,9.0,254.3,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0008611111111111111,0.16866666666666666,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.5
20.06,1.0,9.0,2026-03-11 00:09:08,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,3.0,75.2,0.0,30.15,1147.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.3,,3.6,-18.0,4.998,,,0.656,0.834,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0009166666666666666,0.253,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
21.06,1.0,9.0,2026-03-11 00:09:09,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.5,216.1,0.0,21.0,0.0,-0.01,1.0,,19.0,75.2,0.0,30.15,1147.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0009722222222222222,0.253,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
22.06,1.0,9.0,2026-03-11 00:09:10,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,12.0,75.2,0.0,30.15,1147.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0010277777777777778,0.253,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
23.06,1.0,9.0,2026-03-11 00:09:11,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.6,216.1,0.0,21.0,-0.0,-0.01,1.0,,23.0,75.2,0.0,30.15,1147.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0010833333333333333,0.253,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
24.06,1.0,9.0,2026-03-11 00:09:12,36.889,-121.40333,258.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.6,216.2,0.0,21.0,-0.0,-0.01,1.0,,-6.0,75.2,0.0,30.15,1146.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,181.4,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.001138888888888889,0.253,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
25.06,1.0,9.0,2026-03-11 00:09:13,36.88901,-121.40333,259.0,0.1,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,-33.0,75.2,0.0,30.15,1146.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.656,0.834,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0011944444444444444,0.3373333333333333,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.5
26.06,1.0,9.0,2026-03-11 00:09:14,36.88901,-121.40333,259.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,-57.0,75.2,0.0,30.15,1146.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.656,0.834,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.00125,0.42166666666666663,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
27.06,1.0,9.0,2026-03-11 00:09:15,36.88901,-121.40333,259.0,0.0,11.9,-12.5,,,,,0.0,10.3,-0.5,216.1,0.0,21.0,-0.0,-0.01,1.0,,-60.0,75.2,0.0,30.15,1145.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.656,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0013055555555555555,0.42166666666666663,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
28.06,1.0,9.0,2026-03-11 00:09:16,36.88901,-121.40333,259.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.6,216.2,0.0,20.0,-0.0,-0.01,1.0,,-66.0,75.2,0.0,30.15,1144.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.654,0.834,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0013611111111111111,0.42166666666666663,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
29.06,1.0,9.0,2026-03-11 00:09:17,36.88901,-121.40333,259.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.6,216.2,0.0,19.0,0.0,-0.01,1.0,,-58.0,75.2,0.0,30.15,1143.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0014166666666666668,0.42166666666666663,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
30.06,1.0,9.0,2026-03-11 00:09:18,36.88901,-121.40333,260.0,0.0,11.9,-12.5,,,,,0.0,10.4,-0.6,216.2,0.0,17.0,-0.0,-0.01,1.0,,-60.0,75.2,0.0,30.15,1141.0,,,140.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,181.4,0.0,0.0,30.3,0.2,,0.2,3.6,,,13.7,0.0,0.0,-0.2,4.4,3.0,,,,,258.8,183.2,269.6,212.0,267.8,203.0,266.0,204.8,,,9.0,254.2,,3.6,-18.0,4.998,,,0.654,0.833,0.0,180.68,,,,,,0.0,265.55,3.53125,2.4122340425531914,0.0014722222222222222,0.42166666666666663,408.2,True,2026-03-11 00:08:48 - Flight 2,0.2,0.0
